paper_id,title,file_name,year,priority,extraction_quality,evidence_type,claim_type,evidence_text,figure_table_source,page_est,keyword,confidence,relevance,ml_feature_candidate
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,conclusion,general,"in the paper are present in the paper
492–501 (2015). and/or the Supplementary Materials.",conclusion section,end,conclusion,medium,standard,FALSE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,excerpt,general,"lar motifs that harness these electrostatic attractive forces to their full- the field of ionic liquids, where the addition of asymmetric bulky pen- est potential, ranging from strongly hydrated soft coacervates, such as dant groups tempers the electrostatic forces to lower their melting",line 30,1,ionic liquid,medium,standard,TRUE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,excerpt,general,"makes these materials brittle and un-p rocessable in the dry state (12). Small-m olecule ionic liquids can be added on demand to further tune In ionomers, interactions between charged side groups on polymer the glass transition temperatures and material mechanics, serving the",line 46,2,ionic liquid,medium,standard,TRUE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,excerpt,general,"themselves. To this end, we took inspiration from ionic liquids and charge stoichiometry to allow complex formation under vigorous mix- synthetized polyelectrolytes with bulky side chains attached to the ing (schematic, Fig. 1D). This leads to the formation of a precipitate,",line 88,3,ionic liquid,medium,standard,FALSE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,excerpt,general,"anion is based on styrenesulfonyl imides, with fluorinated side chains MilliQ water until the ionic conductivity of the supernatant approaches of two different lengths. By varying the side-g roup dimensions, we that of pure water (fig. S1A). We verified that this effectively removes",line 92,3,conductivity,medium,standard,FALSE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,excerpt,general,"polystyrene backbone with ionic liquid- inspired side chains. the alkyl and fluoroalkyl tail lengths are varied to modify the interaction strength. (A) non- screened (nS) compleximer has relatively accessible ionic groups, allowing for strong ionic bonding, similar to traditional Pecs. (B) half-s creened (hS) compleximer is made with a",line 103,3,ionic liquid,medium,standard,FALSE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,excerpt,measurement,"cation or polyanion and subsequent simultaneous mixing, which leads to the precipitation of a solid complex. these are washed with water until the conductivity reaches equilibrium close to the conductivity of MilliQ water, removing all free counterions from the complex. the final compleximer is obtained as a dry powder. nr.,",line 107,3,conductivity,medium,standard,FALSE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,performance_data,measurement,R-squared: 0,text extraction,,performance,medium,standard,TRUE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,figure_caption,measurement,"Polyelectrolytes with varying degrees of intrinsic screening form compleximers upon mixing in solution. Four investigated polyelectrolytes consist of a
polystyrene backbone with ionic liquid- inspired side chains. the alkyl and fluoroalkyl tail lengths are varied to modify the interaction strength. ",Figure 1,,Figure 1,medium,standard,FALSE
P057,Science AdvAnceS | ReSeAR ch AR ticLe,P057_unidentified.pdf,2024,low,partial,figure_caption,measurement,"Ionic screening as the key toward accessing glass transitions in compleximers. (A) A screened ionic liquid, methyl- trioctylammonium bis(trifluoromethylsulfonyl)
imide (iL-S ) is used to plasticize S compleximer by providing extrinsic screening. Samples become increasingly transparent with increasin",Figure 3,,Figure 3,medium,standard,TRUE
