paper_id,title,file_name,year,priority,extraction_quality,evidence_type,evidence_text,page_est,keyword,confidence
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,conclusion,"wasteproductsintonewmaterialsofhighervalues.145
Li et al.146 upcycled TPU wastes into activated carbon Undoubtedly,thepossibilityofdesigningandeffectivelyapply-
throughtwostepsofcontrollablecarbonizationandactivation ing feasible and reliable recycling strategies to such fossil-
and demonstrated its excellent wastewater treatment derived polymers as polyurethanes has significantly reduced
performance. the general concern about their end-of-life and their difficult
Daniel et al.147 showed the syn",end,conclusion,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,excerpt,"(depending on the ratio between soft segments and hard seg- parts and components; however, the extension of their life ments2), which can be employed in different application cyclemayhaveanimportantenvironmentalimpact,duetothe",3,soft segment,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,excerpt,"Recently,Bransonetal.115demonstratedthesuitabilityand the hard segments’ content turned out to lower the rate and effectiveness of urethanases, discovered from a metagenome extent of the biodegradation rate (the maximum value",26,hard segment,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,excerpt,"to their hard-to-soft segment ratios, the type of polymer back- inparticular,itwasfoundthatbothesterandurethanebonds bone(aromaticoraliphatic),thepresenceofspecificadditives were cleaved by this strain, leading to the formation of six",27,soft segment,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,excerpt,"applications. The functional upcycling of the PU waste is also to-soft segment ratios, among other parameters, all of which extensively reviewed in a recent paper,149 where several strat- significantly affect the recycling processes and the properties",35,soft segment,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,figure_caption,"Each one shows and polyol from which it was formed. This reaction can also
several peculiarities that not always are very well known by lead to the formation of amines and olefins and generates
both the academic and industrial communities, especially by CO , which is lost as a gas.1 The isocyanurate",,Figure 4,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,figure_caption,"Itsmainadvantagesrefertothepossibilityof
cycle, because of the degradation caused by reprocessing obtaining parts and components with enhanced mechanical
(thermo-mechanicaldegradation)thatsumstothedegradation features and good aesthetical properties (with improved
during lifetime (thermo-oxidative o",,Figure 6,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,figure_caption,Fig.8showstheschematicoftherebondingofaflexible,,Figure 7,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,figure_caption,"Inparticular,aluminumacetylacetonatewasemployed
occur, which means that the crosslinked networks are no as a crosslinker for the synthesis of the polyurethanes, which
longer fixed, and the topological structures will change under gave rise to the formation of thermally reversible bonds
external forc",,Figure 16,medium
P049,Green Chemistry,P049_unidentified.pdf,2024,low,partial,figure_caption,"strength of the regenerated fluorinated rigid polyurethane
The scalability and cost-effectiveness of the chemical re- foam(+43%withrespecttothatofthenon-fluorinatedregen-
cycling process have been and are still very challenging. A erated counterpart), (ii) an enhanced waterproof behaviorand",,Figure 18,medium
P156,Angewandte Chemie International Edition,P156_unidentified.pdf,2026,low,partial,excerpt,"Hard domains formed by hydrogen-bonded urethane linkages provide mechanical strength but limit the chain mobility needed for healing, while soft domains enable elasticity but are more vulnerable to damage. We propose a soft-segment modification strategy",1,domain,medium
P156,Angewandte Chemie International Edition,P156_unidentified.pdf,2026,low,partial,excerpt,"healing, while soft domains enable elasticity but are more vulnerable to damage. We propose a soft-segment modification strategy that incorporates α, ω-hydroxyl end-functionalized polyacrylates into conventional TPU structures. Unlike our previous systems",1,domain,medium
P156,Angewandte Chemie International Edition,P156_unidentified.pdf,2026,low,partial,excerpt,"based on linear-alkyl acrylates (i.e., n -butyl acrylate), introducing branched-alkyl acrylic soft segments (i.e., 2-ethylhexyl acrylate) generate side-chain architectures whose segmental dynamics respond more sensitively to temperature. This enhanced thermal",1,soft segment,medium
P156,Angewandte Chemie International Edition,P156_unidentified.pdf,2026,low,partial,excerpt,"the mechanical contribution of the hard domains. As a result, the acrylic TPUs display high toughness (186 MJ ⋅m− 3 ), stable notch performance (fracture energy > 197 kJ ⋅m− 2 at elongations above 900%), and practical self-healing ( ∼ 90% recovery at 45◦C",1,domain,medium
P156,Angewandte Chemie International Edition,P156_unidentified.pdf,2026,low,partial,excerpt,"ture composed of hydrogen-bonded hard domains dispersed footwear [ 9 ]. within flexible soft segments [ 1 ]. The hard segments, derived",1,domain,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,abstract,"Developinghigh-performancepolyurethane(PU)elastomers
requiresovercomingtheinherenttrade-offbetweenstrengthandtoughness
throughprecisecontrolofthemicrophaseseparationmorphology.Advances
in nanostructure control and nondestructive microstructural detection are
therefore essential. Herein, we report a hyperbranched PU elastomer (PU-
HPAE ) synthesized using hyperbranched poly(amino ester) (HPAE) as a
x
dual-function macromonomer that acts simultaneously as a chain extender
and a nonconventional flu",1,abstract,high
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,conclusion,"accompanied by a red shift (10 nm). This behavior stems
Inthiswork,wehavedevelopedathermosettingpolyurethane
from water molecules penetrating the polymer matrix and (PU) elastomer with outstanding mechanical properties and
forminghydrogenbondswithpolargroups(−NH,−C=O)of
unique nonconventional fluorescence emission by using a
the PU, which disrupts the luminescent clusters and hinders hyperbranched poly(amino ester) as a dual-function macro-
energytransferbetweenfluorophores.Moreover,theincreased",end,conclusion,high
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,excerpt,In Situ Visualization of Microphase Separation in High-Performance Hyperbranched Polyurethane,1,microphase separation,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,excerpt,throughprecisecontrolofthemicrophaseseparationmorphology.Advances in nanostructure control and nondestructive microstructural detection are,1,morphology,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,excerpt,"hydrogen bonds (H-bonds) and a well-defined microphase-separated morphology, resulting in exceptional strength (65.80 MPa), elongation",1,hydrogen bond,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,excerpt,"morphology, resulting in exceptional strength (65.80 MPa), elongation (1031.70%), and toughness (185.3 MJ m−3)�overcoming classical",1,morphology,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,excerpt,"of micrometer-scalephase separationand its dynamic evolution,thereby providing keyinsightsinto the morphology−performance relationship. Furthermore, HPAE exhibits stimuli-responsive fluorescence under both mechanical strain and humidity, highlighting",1,phase separation,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,performance_data,Elongation at break: 1031.70,,performance,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,figure_caption,"StructurecharacterizationofPU-HPAE elastomer.(a)FT-IRspectraofHPAEandPU-HPAE .(b)XRDpatternofPU-HPAE .(c)ν of
x 0.2 0.2 e
PU-HPAE (PU-HPAE shows excessive mass loss during swelling, indicating low cross-linking density). (d) R value-driven topological
x 0.5
reconfigurationinPUnetworks. (e)Temperatur",,Figure 1,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,figure_caption,"All-atomMDsimulations.(a)Snapshotsoftheall-atomMDsimulationsofthestructuresofPU-1−PU-3elastomers.(b)All-atomMD
simulationsnapshotsofPU-2beforeandaftercross-linking.(c)Comparisonofbindingenergyandcross-linkingdegreeofPU-1−PU-3elastomers.(d)
Stress−straincurvesofPU-1−PU-3elastomers.(e)Evolutionsofthen",,Figure 3,medium
P235,In Situ Visualization of Microphase Separation in High-Performance,P235_unidentified.pdf,2025,medium,good,figure_caption,"VisualizationofmicrophaseseparationbehaviorofPU-HPAE.(a)FluorescencevisualizationofmicrophaseseparationinPU-HPAE.Top
x x
row:confocalmicroscopyimagesofelastomericfilmsacquiredthroughtheDAPIchannelintheLSCM(scalebar=20μm).Bottomrow:fluorescence
brightnessdistributionmapsanalyzedusingMATLAB.(b)Quantit",,Figure 5,medium
P258,"Macromolecules2008,41,5723-5728 5723",P258_unidentified.pdf,2008,low,partial,conclusion,"(27) Wu,D.Q.;Phillips,J.C.;Lundberg,R.D.;Macknight,W.J.;Chu,
B.Macromolecules1989,22,992–995.
Molecular mobility and ionic transport in a series of model (28) Jin,X.;Zhang,S.H.;Runt,J.Polymer2002,43,6247–6254.
poly(ethyleneoxide)-basedpolyurethaneionomers,containing (29) Jin,X.;Zhang,S.H.;Runt,J.Macromolecules2004,37,8110–8115.
mobile Li+ or Na+ were studied using dielectric relaxation (30) Zhang,S.H.;Runt,J.J.Phys.Chem.B2004,108,6295–6302.
(31) Borodin,O.;Smith,G.D.Macromolecules2000,33,2273–22",end,conclusion,medium
P258,"Macromolecules2008,41,5723-5728 5723",P258_unidentified.pdf,2008,low,partial,excerpt,SAXSmeasurementswereperformedusingaMolecularMetrology instrument equipped with a Cu target (λ ) 1.542 Å) and a two- Figure3.Dielectriclossvsfrequencyintheregionofthesecondary,4,saxs,medium
P258,"Macromolecules2008,41,5723-5728 5723",P258_unidentified.pdf,2008,low,partial,excerpt,"Figure2showstheSAXSprofileforPU-Na+.Considerable DielectricRelaxationSpectroscopy.SamplesforDRSmeasure- scattering is observed at low wavevectors; however, the scat-",4,saxs,medium
P258,"Macromolecules2008,41,5723-5728 5723",P258_unidentified.pdf,2008,low,partial,excerpt,with cations likely prevents microphase separation of ion ε′′ or derivative spectra21 using the appropriate form of the,4,microphase separation,medium
P258,"Macromolecules2008,41,5723-5728 5723",P258_unidentified.pdf,2008,low,partial,excerpt,"temperatures, and even potentially, phase separation as is in (19) Polizos,G.;Kyritsis,A.;Pissis,P.;Shilov,V.V.;Shevchenko,V.V.",11,phase separation,medium
P258,"Macromolecules2008,41,5723-5728 5723",P258_unidentified.pdf,2008,low,partial,figure_caption,"Itconsistsofpoly(ethyleneoxide)segmentsofmolecular
*Correspondingauthor:e-mailrunt@matse.psu.edu. weight 600 linked together alternately by the ion-containing
10.1021/ma800263bCCC:$40.75 2008AmericanChemicalSociety
PublishedonWeb07/02/2008
.)CTU(
11:50:80
ta
6202
,82
yraurbeF
no
VINU
GNIQGNOHC
aiv
",,Figure 1,medium
P258,"Macromolecules2008,41,5723-5728 5723",P258_unidentified.pdf,2008,low,partial,figure_caption,"Small-angleX-rayscatteringprofileforPU-Na+.
PU-Li+ 17000 253 3×1020
PU-Na+ 11000 257 3×1020
sulfonated isophthalate group and by the substituted methylene
cyclohexaneringconnectedbytwourethanelinkages.
A lithium-containing ionomer was prepared from the sodium-
containingsamplebydialysisafterexposure",,Figure 2,medium
P258,"Macromolecules2008,41,5723-5728 5723",P258_unidentified.pdf,2008,low,partial,figure_caption,"Dielectricloss(opensymbols)andderivative(filledsymbols)
spectra at 283 and 343 K for PU-Na+. Lines are fits of the Figure 6. Dc conductivity vs inverse temperature. Uncertainty is
(appropriatelytransformed)Havriliak-Negamifunctiontothe343K
comparabletothesizeofthedatapoints.
ε data(individualcontrib",,Figure 4,medium
