paper_id,title,file_name,category,year,priority,extraction_quality,evidence_type,claim_type,evidence_text,figure_table_source,page_est,keyword,confidence,relevance,ml_feature_candidate,needs_manual_check,title_needs_cleanup
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,abstract,general,"The synthesis of sequence-controlled block copoly-
mers from a mixture of cyclic ester monomers represents a
significant challenge. In this study, we demonstrate the selective
and self-switchable ring-opening polymerization (ROP) of three
different cyclic ester monomers (lactide (LA), rac-β-butyrolactone
(rac-β-BL)andε-caprolactone(ε-CL))toblockcopolymersofthe
form (AB) (BC) using a highly selective yttrium catalyst. Each
x y
block contains units from two monomers and completely excludes
onemono",,1,abstract,high,standard,FALSE,FALSE,FALSE
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,"Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures David J. E. Seed, Amelia B. Milner, George R. Walker, and Rachel H. Platel*",,1,ring-opening,medium,standard,FALSE,FALSE,FALSE
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,"and self-switchable ring-opening polymerization (ROP) of three different cyclic ester monomers (lactide (LA), rac-β-butyrolactone",,1,ring-opening,medium,standard,FALSE,FALSE,FALSE
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,(rac-β-BL)andε-caprolactone(ε-CL))toblockcopolymersofthe form (AB) (BC) using a highly selective yttrium catalyst. Each,,1,caprolactone,medium,standard,FALSE,FALSE,FALSE
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,"wheremicrophase separation of the constituent blocksoccurs, rac-β-BL using an yttrium amine bis(phenolate catalyst).49",,1,microphase,medium,standard,FALSE,FALSE,FALSE
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,"at40°CinCHCl usingdn/dcvaluesof0.024(PLA),0.033(P3HB)and0.11(PCL)andusingdn/dc(copolymer)=(0.033×weightfractionB/ 3",,3,pcl,medium,standard,FALSE,FALSE,FALSE
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,figure_caption,general,"Structureof 1.
mixture and/or the identity of the growing polymer chain-
end.11,12 This concept was first demonstrated by Coates and
co-workers in the terpolymerization of anhydride, CO and Received: March27,2025
2
cyclohexene oxide (CHO),13 and Williams and co-workers Revised: June12,2025
with the ",,,Figure 1,medium,standard,FALSE,FALSE,FALSE
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,figure_caption,general,"Structuresof 2−4. It was of interest to determine the microstructure of the
individual blocks in these novel block copolymers. In the
copolymerization of rac-LA and rac-β-BL using 1, it is shown
(SiHMe ) ) (THF) in the polymerization reaction leads to that, in the presence of any rac-LA, no BB homod",,,Figure 3,medium,standard,FALSE,FALSE,FALSE
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,figure_caption,general,"Main plot: Monomer conversion over time in a after 50 min total reaction time.
polymerization reaction, initially of S,S-LA (blue circles) and ε-CL The ability of a low concentration of LA to completely halt
catalyzed(greentriangles)by1(blueregion).Rac-β-BL(redsquares) thereactionofε-CLandseverelyre",,,Figure 4,medium,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,abstract,general,"Developing high-refractive-index polymers (HRIPs) that simulta-
neously exhibit high optical transparency, mechanical robustness, and excellent
sustainability remains a formidable challenge. Herein, we report a conjugation-
disruption strategy to fabricate colorless and chemically recyclable HRIPs with
highmechanicalrobustnessandefficientchemicalrecyclability,denotedasPTU-4.
Synthesized via the copolymerization of 4,4′-thiobisbenzenethiol (TB), hexam-
ethylene diisocyanate, and phenol-functional",,1,abstract,high,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,conclusion,general,"PUU 1k elastomers.PUU 2k andPUU 4k showedsimilarbehavior, In summary, we have developed high-refractive-index and
with residual strains of 12.3% and 13.6%, respectively, in the colorlessPTU-4opticalplasticsthatintegratehighmechanical
second loading−unloading cycle (Figure S23b−c, Supporting strength, excellent wear resistance, and chemical recyclability.
Information). Complete recovery of the residual strains was Through the deliberate conjugation-disruption strategy, the
observedafter60minofres",,end,conclusion,high,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,"neously exhibit high optical transparency, mechanical robustness, and excellent sustainability remains a formidable challenge. Herein, we report a conjugation-",,1,mechanical,medium,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,"highmechanicalrobustnessandefficientchemicalrecyclability,denotedasPTU-4. Synthesized via the copolymerization of 4,4′-thiobisbenzenethiol (TB), hexam-",,1,mechanical,medium,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,colorless HRIPs with excellent sustainability and outstanding mechanical performance. 1. INTRODUCTION ation HRIPs are increasingly expected to meet sustainability,,1,mechanical,medium,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,"surfacewear,scratching,andchemicaldegradation,allofwhich therebyimprovingwearercomfortandaddressingtheaesthetic",,1,degradation,medium,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,excerpt,general,"can impair their optical and mechanical performance.30,31 drawbacks associated with traditional thick lenses.3,10 Accord-",,1,mechanical,medium,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,figure_caption,general,"FabricationandopticalpropertiesofthePTUplastics.(a)SyntheticroutesofthePTUplastics.(b,c)UV−vistransmissionspectra(b)
andrefractiveindices(c)ofthePTU-4plastics,PMMAandPClenses.InsetinFigure1bisthedigitalimageofaPTU-4plasticsheetwiththe
dimensionof10 ×10cm2and the thickness of1.0 mm.(d) Schematic illu",,,Figure 1,medium,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,figure_caption,general,"SolventresistanceofthePTU-4plastics.(a)WeightofthePTU-4plasticpiecesafterimmersinginvariedaqueoussolutionsfordifferent
time.InsetsinFigure3aarethedigitalimagesoftheimmersedPTU-4plasticpieces.(b)Stress−straincurvesofthePTU-4plasticpiecesafter
beingimmersedinvariedaqueoussolutionsatroomtemperaturefor3",,,Figure 3,medium,standard,FALSE,FALSE,FALSE
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,PCL_Based_Polyurethane,2025,low,good,figure_caption,general,"Wear resistance and healing capacities of the PTU-4
4,thepiecesremainedinsoluble.UponadditionofNH −PPG-
plastics. (a, b) Wear depths (a) and COF values (b) of PTU-4, 2
NH (M ∼2000Da,7.00g)andheatingat45°Cfor1h,the
PMMAandPCduringthetribologicaltests.(c)Chemicalstructures 2 n
of the two model molecul",,,Figure 4,medium,standard,FALSE,FALSE,FALSE
P188,Explore Thermal and Mechanical Properties of Biobased,P188_unidentified.pdf,PCL_Based_Polyurethane,2026,medium,partial,conclusion,general,"plot, and the relative contribution analysis shown in Pie plot based on the predictive models of TS (b). Red and blue colors in the SHAP summary plot
show positive and negative contributions to improve model performance, and each point represents a sample. In the Pie plot, green for composition
and SMILES derived features, blue for formulation, red for polymerization and sample preparation methods, brown for measurement settings, the
top-important features were labelled.
5 Important Correlations",,end,conclusion,medium,standard,FALSE,FALSE,FALSE
P188,Explore Thermal and Mechanical Properties of Biobased,P188_unidentified.pdf,PCL_Based_Polyurethane,2026,medium,partial,excerpt,general,Explore Thermal and Mechanical Properties of Biobased Polyurethane Elastomers Through Machine Learning,,1,mechanical,medium,standard,FALSE,FALSE,FALSE
P188,Explore Thermal and Mechanical Properties of Biobased,P188_unidentified.pdf,PCL_Based_Polyurethane,2026,medium,partial,excerpt,general,Keywords: biobased polyurethane elastomer | dissipation factor | machine learning | mechanical properties | thermal properties ABSTRACT,,1,mechanical,medium,standard,FALSE,FALSE,FALSE
P188,Explore Thermal and Mechanical Properties of Biobased,P188_unidentified.pdf,PCL_Based_Polyurethane,2026,medium,partial,excerpt,general,"Mechanical and thermal properties are the core to determine the application scenarios of biobased polyurethane elastomers (BPUEs). Here, six core properties were studied, including Young’s modulus (YM), tensile strength (TS), elongation at break",,1,mechanical,medium,standard,FALSE,FALSE,FALSE
P188,Explore Thermal and Mechanical Properties of Biobased,P188_unidentified.pdf,PCL_Based_Polyurethane,2026,medium,partial,excerpt,general,"more than 70% of the explainability. Biomass feedstocks, molecular weights for polyols, hard segment contents etc., are important regulatable variables to prepare BPUEs with fitting-for-purpose products, and the stretching rate and the heating rate are also",,1,molecular weight,medium,standard,FALSE,FALSE,FALSE
P188,Explore Thermal and Mechanical Properties of Biobased,P188_unidentified.pdf,PCL_Based_Polyurethane,2026,medium,partial,excerpt,general,critical to harvest repeatable mechanical and thermal properties. This study provided data-driven insights for the rational design of BPUEs with desired mechanical and thermal properties.,,1,mechanical,medium,standard,FALSE,FALSE,FALSE
P188,Explore Thermal and Mechanical Properties of Biobased,P188_unidentified.pdf,PCL_Based_Polyurethane,2026,medium,partial,performance_data,general,Elongation at break: 5,,,performance,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,abstract,general,"The structure of semicrystalline polymers is quite complex
due to the presence of interconnected amorphous and crystalline regions.
Extended or folded chain crystals, along with entanglements and tie
molecules, are formed depending on the chain length. The material’s
structure determines its final performance, so understanding the impact of
chain length is essential. Broadband dielectric spectroscopy is highly
sensitive to the molecular dynamics of polar polymers. In this work, a
systematicstudy",,1,abstract,high,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,conclusion,general,"Chemistry, University of the Basque Country UPV/EHU,
Inthiswork,broadbanddielectricspectroscopyisemployedto Donostia-San Sebastián 20018, Spain; POLYMAT,
demonstrate the impact of chain length on the microstructure University of the Basque Country UPV/EHU, Donostia-San
of PCL by considering the contributions of end chain groups Sebastián, Gipuzkoa 20018, Spain; IKERBASQUE, Basque
and the main chain to dielectric permittivity. Isothermal Foundation for Science, Bilbao 48009, Spain; orcid.org/
mea",,end,conclusion,high,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,excerpt,general,"Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling the Roles of Chain Ends, Main Chains, Entanglements, and",,1,pcl,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,excerpt,general,"systematicstudyoftheimpactofchainlengthonPCL’sdielectricrelaxation is conducted, decoupling for the first time the role of chain length, chain",,1,pcl,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,excerpt,general,"ends,entanglements,andcrystallinityontheβrelaxation.PCLsampleshave beenanalyzedwithinanumber-averagemolarmassrangeof2−173kg/mol.",,1,pcl,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,excerpt,general,"Polycaprolactone is an aliphatic polyester that has garnered formation, M, to be between 1.6 and 3.9 kg/mol.6−8 This significant attention due to its biocompatible and biodegrad- e",,1,polycaprolactone,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,excerpt,general,"formation, M, to be between 1.6 and 3.9 kg/mol.6−8 This significant attention due to its biocompatible and biodegrad- e able properties.1,2 This polymer is typically synthesized suggests that the critical molar mass, M c , at which the zero",,1,biocompat,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,performance_data,general,Crystallinity: 30,,,performance,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,figure_caption,general,"This
Sample Source M (kg/mol) Đ(M /M)
n w n cooling rate was chosen because it matches the slow cooling
PCL2k Synthesized 2.1 1.4 rates used in dielectric experiments. The PCL samples
PCL4k Synthesized 4.2 1.2 crystallize below 313.15 K, with a slightly lower T as the
c
PCL10k Sigma 9.6 1.6 molecula",,,Figure 1,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,figure_caption,general,"Dielectric relaxation curvesrecordedat10Hz(purple)and 1000Hz(black) onPCL2k (a) andPCL70k (b), respectively.",,,Figure 3,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,figure_caption,general,"These PCL2k data clearly show the
reported,29 which are expected to be irrelevant for PCL70k.
A more in-depth study of the α-relaxation would require
numerous assumptions for the deconvolution of the over-
lapping contributions already reported in the litera-
ture.,29,30,36,38−41 This leads to compa",,,Figure 5,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,figure_caption,general,"a)−f)″Mastercurves″obtainedfortheβ-relaxationoftheinvestigatedPCLsamples:a)PCL70k,b)PCL2k,c)PCL4k,d)PCL10k,e)
PCL35k and f) PCL173k. Solid lines correspond to the description obtained according to the analysis described in the text, dotted lines in b)
correspondtotheseparatedEG(endgroups)andMC(mainc",,,Figure 6,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,figure_caption,general,"Molar mass dependence of the MC (main chain) peak
parameters,andanotherbi-Gaussianequation wasassumedto
relaxationintensities(opencircles)andafternormalizationtotheMC
describe the EG contribution to the measured signal of the
fractionintheamorphousphase(filledcirclesinbluecolor).Theline
PCL2ksample.",,,Figure 7,medium,standard,FALSE,FALSE,FALSE
P339,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,P339_unidentified.pdf,PCL_Based_Polyurethane,2025,medium,good,figure_caption,general,"Although the procedure
the local packing, and the segments around the entanglement involves significant uncertainties, it has been possible to
points have different dynamics. In this framework, the value identifythepeakfrequenciesofthispoorlydefinedcomponent
obtainedforthePCL2ksample(M <M)wouldrepre",,,Figure 8,medium,standard,FALSE,FALSE,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,PVDF_Piezoelectric_Biomaterials,2018,low,partial,excerpt,general,"-caprolactone)(PCL),(e)Chitosan(CS),(f)Poly(vinylpyrrolidone)(PVP),(g)Poly(vinylchloride)(PVC),and(h)Poly(vinylidenefluoride)(PVDF). S.B.Azizetal./JournalofScience:AdvancedMaterialsandDevices3(2018)1e17 3",line 87,3,pvdf,medium,standard,FALSE,TRUE,TRUE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,PVDF_Piezoelectric_Biomaterials,2018,low,partial,excerpt,general,"ofScheme.1),resultinginthepoorionicconductivity.Plasticized morphologyof poly(vinylidene difluoride-co-hexa fluoro propyl- polymer electrolytes with suitable liquid solvents that have high ene)(PVDF-co-HFP))complexedwithLiPF6.Thesurfaceandcross-",line 140,4,poly(vinylidene,medium,standard,FALSE,TRUE,TRUE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,PVDF_Piezoelectric_Biomaterials,2018,low,partial,excerpt,general,"polymer electrolytes with suitable liquid solvents that have high ene)(PVDF-co-HFP))complexedwithLiPF6.Thesurfaceandcross- dielectricconstant,ε,andlowviscosity,h,aredesiredtoformgel section morphology of the PVDF-co-HFP polymer incorporated",line 141,4,pvdf,medium,standard,FALSE,TRUE,TRUE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,PVDF_Piezoelectric_Biomaterials,2018,low,partial,excerpt,general,"dielectricconstant,ε,andlowviscosity,h,aredesiredtoformgel section morphology of the PVDF-co-HFP polymer incorporated polymer electrolytes. Therefore, the amorphous regions grow with different amounts of in situ synthesized TiO2 nanoparticles",line 142,4,pvdf,medium,standard,FALSE,TRUE,TRUE
