paper_id,title,file_name,year,priority,extraction_quality,evidence_type,claim_type,evidence_text,figure_table_source,page_est,keyword,confidence,relevance,ml_feature_candidate
P010,Surpassing the stiffness-extensibility trade-off,P010_unidentified.pdf,2021,medium,partial,conclusion,finding,"Progress and potential
The current paradigm of elastomer design typically falls into the Stiffness-extensibilitytrade-offof
trade-off between stiffness and extensibility. With a few reports elastomersisalong-standing
on circumventing this trade-off behavior, e.g., increasing Young’s challengethatimposesgreat
modulus without sacrificing extensibility, the design principles to difficultyonimprovingtheir
achieveimprovementsinbothstiffnessandextensibilityhaverarely overallmechanicalperformance.
been",conclusion section,end,conclusion,medium,high_relevance_pu,TRUE
P010,Surpassing the stiffness-extensibility trade-off,P010_unidentified.pdf,2021,medium,partial,excerpt,general,of elastomers via mastering the hydrogen- bonding clusters,line 5,1,elastomer,medium,high_relevance_pu,FALSE
P010,Surpassing the stiffness-extensibility trade-off,P010_unidentified.pdf,2021,medium,partial,excerpt,interpretation,"elastomersbyimprovingbothparameters.Themicroscopicdynamicpictures wereproposedbasedonexperimentalandsimulationdata,andgenerated",line 24,1,elastomer,medium,high_relevance_pu,FALSE
P010,Surpassing the stiffness-extensibility trade-off,P010_unidentified.pdf,2021,medium,partial,excerpt,general,knowledgewillbeinstrumentalforotherelastomersystemsforfunctionalelastic materials.,line 26,1,elastomer,medium,high_relevance_pu,FALSE
P010,Surpassing the stiffness-extensibility trade-off,P010_unidentified.pdf,2021,medium,partial,figure_caption,measurement,"Characterizationsofthedevelopedelastomers
(A)InfraredspectroscopyoftheECN,pc-IPN,andnetworkwithchemicallygraftedUPyunits(cg-
ECN)from1,350to1,850cm(cid:3)1;insertshowsthebroaderabsorptionrangefrom600to4,000cm(cid:3)1.
(B)DSCcurvesofECN,pc-IPN1.5UPy,andcg-ECN1.5UPy;insertisthecoolingcurve;heatingrate",Figure 1,,Figure 1,medium,high_relevance_pu,FALSE
P010,Surpassing the stiffness-extensibility trade-off,P010_unidentified.pdf,2021,medium,partial,figure_caption,measurement,"Theproposeddynamicprocessesofchemicalnetworkgraftedwith1.5equivalentofUPy(cg-ECN
1.5UPy
)uponstretching
(A)Phase1:elasticrecovery(0%–5%linearrecovery,5%–10%non-linearrecovery).Phase2:breakofchemicalbondsandUPy-clusterrearrangement.
(B)Scatteringfunction,S(q),fromB-typebeadsfordifferentvaluesofεforth",Figure 3,,Figure 3,medium,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,abstract,finding,"An overview is given of the development of NMR
spectroscopy during the past 50 years with emphasis on applications in
macromolecular science. The unique versatility of the technique, in
particular solid-state NMR, being able to elucidate structure and dynamics
over wide ranges in space and time is demonstrated. The examples pre-
sentedillustratehowadvancedNMRmethodsmeetthechallengesposedby
the delicate interplay of structure and dynamics in macromolecular and
supramolecular systems, leading to i",abstract section,1,abstract,high,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,conclusion,finding,"have AstheshapesofthedomainsaredifficulttodiscerninNMR,
recentlybeenconfirmedbysimpletime-savingandyeteffective
the technique is particularly useful for elucidating small
1H NMR methods.138,139 domainsinmisciblesystems,145whicharebelowtheresolution
In a related study, chain folding within the fold surface limit of other methods.6 For quantification of the results the
between crystalline and noncrystalline regions in isotactic spin-diffusion coefficients have to be known. In glassy systems
poly(p",conclusion section,end,conclusion,high,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,excerpt,general,ABSTRACT: An overview is given of the development of NMR spectroscopy during the past 50 years with emphasis on applications in,line 11,1,overview,medium,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,excerpt,general,"of macromolecules. In fact, in a recent overview entitled “Innovative NMR Strategies for Complex Macromolecules” by 1H, 2H 13C, 15N, and the parameters governing NMR spectra;",line 32,1,overview,medium,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,excerpt,general,"reviews on solution NMR7 and solid-state NMR8 of polymers. applied to macromolecular science in detail here, as they are Interestingly, multidimensional solid-state NMR spectroscopy described in the references cited. In Table 1 of ref 12 the",line 64,2,review,medium,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,figure_caption,measurement,"Current applications of NMRin various fieldsof science.
and dynamics. Current efforts to further increase the NMR
signal intensity dramatically as well as combining NMR with polymershavepublishedseminalpapersinMacromolecules,25−27
other techniques directly and in situ studies are in the focus of oft",Figure 2,,Figure 2,medium,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,figure_caption,measurement,"fuelcellsandbatteries,polymericionicconductors,sensorsand
Correspondingly, according to Web of Science the number of information processors, macromolecular systems for drug
papers employing NMR published per year is 40 times higher delivery and biomedical devices, etc.
today than it was in the late ",Figure 2,,Figure 2,medium,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,figure_caption,measurement,"Chain dynamics of atactic polypropelene in the vicinity of
displacements. Reproduced with permission from ref 8. Copyright the glass transition as revealed by various NMR techniques.
2012Elsevier. Reproduced with permission fromref 103.Copyright 1994 Wiley.
the model predicts five different regimes ",Figure 5,,Figure 5,medium,standard,TRUE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,figure_caption,measurement,"This important
Byadvanced2DNMRtechniques,whichenablerecording13C processwasinvestigatedbysolid-stateNMRalreadyin1991,132
anisotropic chemical shift patterns for the different aromatic and more recently studied in well-defined high molar mass
carbons in the repeat unit, the geometry of the phenylene ",Figure 7,,Figure 7,medium,standard,FALSE
P018,"This is an open access article published under an ACS AuthorChoice License, which permits",P018_unidentified.pdf,2017,medium,good,figure_caption,measurement,"Scheme of dynamics relevant for the drawability of (a) The magnetization reflects the morphology of a two-component
polyethylene. system with equal fractions A and B. (b) After selection of the
magnetization of one component (A in this case), spin diffusion
chain diffusion. Moreover, the difference ",Figure 7,,Figure 7,medium,standard,FALSE
P021,Solution Self-Assembly of Block Copolymers,P021_unidentified.pdf,2017,medium,partial,excerpt,general,ABSTRACT: This Perspective outlines recent advances con- cerning the formation and potential uses of block copolymer,line 9,1,recent advance,medium,standard,FALSE
P021,Solution Self-Assembly of Block Copolymers,P021_unidentified.pdf,2017,medium,partial,excerpt,general,"review,andthereaderisreferredtotherelevantliterature.32−37 consist of covalently linked, and more recently non-covalently",line 20,1,review,medium,standard,FALSE
P021,Solution Self-Assembly of Block Copolymers,P021_unidentified.pdf,2017,medium,partial,excerpt,method,"including anionic polymerization and controlled radical actions and leading to a further reduction in the total free polymerization methods, such as reversible addition−fragmen- energyofthesystem.Micelleformationoccursaboveaspecific",line 34,1,ionic,medium,standard,FALSE
P021,Solution Self-Assembly of Block Copolymers,P021_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Thermodynamically preferred morphology of the self-
micellecore51orcorona52−56can“lock-in”themicellestructure
assembled BCPs in a selective solvent can be predicted by means of and make it permanent.57 This very useful and now well-
thedimensionless“packingparameter”P.Reproducedwithpermission
develo",Figure 1,,Figure 1,medium,standard,FALSE
P021,Solution Self-Assembly of Block Copolymers,P021_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Laser Confocal Fluorescence Microcopy (LCFM) images revealing the microphase separation of PB-b-PEO and PB-b-PAA in aqueous
solutionduetogelationofPAAwithdivalentcations.DependingontheblendratioofPB-b-PAAandPB-b-PEO,differentmicellarmorphologies
were observed (a−c). Scale bars: 2μm.Reproduced with p",Figure 3,,Figure 3,medium,high_relevance_pu,FALSE
P021,Solution Self-Assembly of Block Copolymers,P021_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"StepwiseassemblyofPS-b-PB-b-PMMA(SBM)andPS-b-PD-b-PMMA(SDM)triBCPsintohierarchicalmicellarstructures,inducedby
changes in the solvent composition. Depending on the volume ratios of the core-forming blocks, monovalent SBM and divalent SDMS colloidal
buildingblocksare formed bypolymer self-assembly (l",Figure 5,,Figure 5,medium,standard,FALSE
P021,Solution Self-Assembly of Block Copolymers,P021_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Methodsforproducingmonodispersecylindricalmicelleswithcrystallinecoresinsolutionvia“self-seeding”(upperroute)and“seeded
growth”(bottom route). Reproduced with permission fromref 163.
of the core−corona interface,49 and intercoronal chain stereocomplexated PLA core were formed (Figure 6) by an
repuls",Figure 7,,Figure 7,medium,standard,FALSE
P021,Solution Self-Assembly of Block Copolymers,P021_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"(a) TEM images of centrosymmetric triblock comicelles
with patchy segments of controlled length, formed through seeded
CDSA processes have been reported for other BCPSs such a growthofPS-b-PE-b-PMMAunimerfromPS-b-PE-b-PSmicelleseeds.
PS-b-PE-b-PS triblock terpolymer with a crystallizable central Sca",Figure 9,,Figure 9,medium,standard,FALSE
P023,: Polymer Brushes: Novel Surfaces for,P023_unidentified.pdf,2017,medium,partial,conclusion,method,"of recent
signals.17Syntheticpolymer brushesare increasingly important studiesof“grownfrom”brushsynthesis,theoreticalconceptsof
as interfaces between materials and biological environments, neutral and charged polymer brushes, new brush architectures,
asstimuli-responsivesurfacesindrugdelivery,18andassurfaces andselectedexamplesofapplicationsinvolvingpolymerbrushes.
for cell growth and for bioseparation.19 For example, charged Inparticular,exampleswherebrushdensityorbrushstretching
brushesareused",conclusion section,end,conclusion,medium,standard,FALSE
P023,: Polymer Brushes: Novel Surfaces for,P023_unidentified.pdf,2017,medium,partial,excerpt,general,"inpolymerbrushesandmayproducemechanochemicaleffects, lead to interesting mechanical properties in the solid state, influenceslocationofbrushchainendsinplanarregionsinthe including the ability to span channels and gaps over surprising",line 59,2,mechanical,medium,standard,FALSE
P023,: Polymer Brushes: Novel Surfaces for,P023_unidentified.pdf,2017,medium,partial,excerpt,finding,"Other uses include polymer compatibilizers,12 new adhesive new, significantly improved thermomechanical, optical, and materials,13,14 chromatographic devices,15 and etch barriers.16 electrical properties22 have already been observed. More infor-",line 111,3,mechanical,medium,standard,FALSE
P023,: Polymer Brushes: Novel Surfaces for,P023_unidentified.pdf,2017,medium,partial,excerpt,general,"mationcanbefoundinrecentreviews.23−26 and binding properties, act as valves in microfluidics, control The remainder of this Perspective will focus on polymer",line 114,3,review,medium,standard,FALSE
P023,: Polymer Brushes: Novel Surfaces for,P023_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Synthesisofpolymerbrushesonsiliconsubstrateusing(a)SI-ATRP,1(b)SI-RAFT,3(c)SI-NMP,47(d)SI-PIMP,53and(e)light-mediated
CRPviaphotoredoxcatalyst.59
Polymerbrushesarewell-knownfortransformingthenature mustberatherhigh(aradiusofafewnanometers)toobservethis
of a surface with a layer just a few nanometers",Figure 1,,Figure 1,medium,standard,FALSE
P023,: Polymer Brushes: Novel Surfaces for,P023_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Changeofthethicknessscalingatdifferentgraftingdensities
controlledsolventqualityasameanstocontrolbrushbehavior.
and solvent qualities. (a) Mushroom to brush transition of PAAm Another “lever” that provides unique segmental density for
brushes. Reproduced with permission from ref 79. (b) Transition o",Figure 3,,Figure 3,medium,standard,FALSE
P023,: Polymer Brushes: Novel Surfaces for,P023_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"(a)Thermoresponsivepolypeptidebrusheswitholigo(ethyleneglycol)sidechains.Reproducedwithpermissionfromref147.(b)Stimuli
responsive diblock copolymer brushes. Reproduced with permission from ref 136. (c) Poly(acrylic acid) brushes with grafting density gradient.
Reproducedwithpermissionfromref113.(d)M",Figure 5,,Figure 5,medium,standard,FALSE
P023,: Polymer Brushes: Novel Surfaces for,P023_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Schematic depiction of a cell-repellent surface (left) with
PNIPAMbrushesinthehydratedstatebelowitslowestcriticalsolution
temperature(LCST).AsthetemperatureincreasesabovetheLCST,the
brushesdehydrateandcollapseallowingforcellstoadheretothesurface
(right).",Figure 9,,Figure 9,medium,standard,FALSE
P029,: Challenges in the Dynamics and,P029_unidentified.pdf,2017,medium,partial,excerpt,general,"physical and mechanical properties, and material processing conditions, for both fully amorphous and semicrystalline",line 31,1,mechanical,medium,standard,FALSE
P029,: Challenges in the Dynamics and,P029_unidentified.pdf,2017,medium,partial,excerpt,general,"coming decade...”; however, although progress is being made, over two decades later, successful resolution of the glass",line 36,1,progress,medium,standard,FALSE
P029,: Challenges in the Dynamics and,P029_unidentified.pdf,2017,medium,partial,excerpt,general,"begin with a simplified overview of the viscoelastic behavior in the form of a master or reduced curve, which covers 12−14",line 218,6,overview,medium,standard,FALSE
P029,: Challenges in the Dynamics and,P029_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Schematic of the thermodynamic signature of glass-
provide a background of the glass transition, its phenomenol-
formation on cooling. If one remains at the temperature T, the
ogy, structural recovery and physical aging, and modeling a
nonequilibriumglasswillevolvespontaneouslytowardequilibriumina
e",Figure 1,,Figure 1,medium,standard,TRUE
P029,: Challenges in the Dynamics and,P029_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Normalized heat capacity data for polystyrene obtained on compared to the viscosity changes. In that case, eqs 1 and 2
heating at 10 K/min after cooling at the rates indicated. Reproduced areinterchangeable,andforT ref =T g ,theparametersarerelated
with permission fromref 4. Copyright 2007Elsevier. ",Figure 3,,Figure 3,medium,standard,FALSE
P029,: Challenges in the Dynamics and,P029_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"(a) Relaxation modulus as a function of time on a linear scale for a model polymer. (b) Same data as in (a) but now in a double-
logarithmicrepresentation.Thisshowstheimportanceofthedouble-logarithmicrepresentationoftheviscoelasticresponseofpolymericmaterials
becausethespectrumofrelaxationtimes(ther",Figure 5,,Figure 5,medium,standard,TRUE
P029,: Challenges in the Dynamics and,P029_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Double-logarithmic representation of the creep compliance
In addition to stress relaxation behavior, one can examine mastercurveforapoly(vinylacetate)polymershowingthesegmental,
dynamicdatainfrequencyspace.Typicalreducedcurvesforthe
rubbery,andterminalflowregimes,thelatterwithslopeS=1.0.The
storagem",Figure 8,,Figure 8,medium,standard,FALSE
P029,: Challenges in the Dynamics and,P029_unidentified.pdf,2017,medium,partial,figure_caption,measurement,"Schematic of how a series of experiments at a range of
temperaturesfromT toT areusedtodefinethetime−temperature
6 1
shift factor a . See text for discussion. Reproduced with permission
T
fromref 14. Copyright 2017CRC Press.
5. In this case, the superposition is a simple horizontal shift
along the lo",Figure 9,,Figure 9,medium,standard,FALSE
P038,: Polymeric Biomaterials: Diverse,P038_unidentified.pdf,2017,medium,good,abstract,method,"Biomaterials have been extensively used to leverage beneficial outcomes in
various therapeutic applications, such as providing spatial and temporal control over the
release of therapeutic agents in drug delivery as well as engineering functional tissues and
promoting the healing process in tissue engineering and regenerative medicine. This
Perspective presents important milestones in the development of polymeric biomaterials
with defined structures and properties. Contemporary studies of biomate",abstract section,1,abstract,high,standard,FALSE
P038,: Polymeric Biomaterials: Diverse,P038_unidentified.pdf,2017,medium,good,conclusion,general,"AND FUTURE PERSPECTIVES Present Addresses
This Perspective highlights the recent developments in the Y.L.: Discovery Pharmaceutical Sciences, Merck Research
design of polymeric and (poly)peptidic biomaterials with a Laboratories, Merck & Co., Kenilworth, NJ 07033.
494 DOI:10.1021/acs.macromol.6b02389
Macromolecules2017,50,483−502
Macromolecules Perspective
L.L.: Department of Biomedical Engineering, Boston Uni-
versity, Boston, MA, 02215; Wyss Institute for Biologically
Inspired Engineering, Har",conclusion section,end,conclusion,high,standard,FALSE
P038,: Polymeric Biomaterials: Diverse,P038_unidentified.pdf,2017,medium,good,excerpt,general,: Polymeric Biomaterials: Diverse Functions Enabled by Advances in Macromolecular Chemistry,line 4,1,biomaterial,medium,standard,FALSE
P038,: Polymeric Biomaterials: Diverse,P038_unidentified.pdf,2017,medium,good,excerpt,general,"ABSTRACT: Biomaterials have been extensively used to leverage beneficial outcomes in various therapeutic applications, such as providing spatial and temporal control over the",line 22,1,biomaterial,medium,standard,FALSE
P038,: Polymeric Biomaterials: Diverse,P038_unidentified.pdf,2017,medium,good,excerpt,general,Perspective presents important milestones in the development of polymeric biomaterials with defined structures and properties. Contemporary studies of biomaterial design have,line 26,1,biomaterial,medium,standard,FALSE
P038,: Polymeric Biomaterials: Diverse,P038_unidentified.pdf,2017,medium,good,figure_caption,measurement,"Examples of orthogonal chemistries that are commonly used in the production of functional biomaterials: (A) copper(I)-catalyzed
alkyne−azidecycloaddition(CuAAC);(B)strain-promotedazide−alkynecycloaddition(SPAAC);(C)tetrazineligation;(D)thiol−enereaction;
(E) alkyne−azide cycloaddition by photoinitia",Figure 1,,Figure 1,medium,standard,FALSE
P038,: Polymeric Biomaterials: Diverse,P038_unidentified.pdf,2017,medium,good,figure_caption,measurement,"Resilin-based elastomeric hydrogels with independent tunability of mechanical and biological functions for regenerative medicine
application.(A)SchematicofmodularRLP-basedhydrogelsfabricatedwithvariousmaterialcompositions.Reproducedwithpermissionfromref84.
Copyright2016JohnWiley&Sons,Inc.(B)Represen",Figure 3,,Figure 3,medium,high_relevance_pu,FALSE
