paper_id,title,original_category,revised_category,keep_irrelevant,reason,confidence
P006,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P008,Supplementary Information for,irrelevant_or_low_priority,irrelevant_or_low_priority,True,Supplementary material,high
P009,"Matter, Volume 5",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P014,High-barrier polyimide containing fluorenol moiety: gas,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P017,: Polymers with Complex Architectures,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P026,: Polymer Functionalization,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P035,: Polymer Conformation A Pedagogical,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P041,"CiteThis:Macromolecules2018,51,4423−4423",irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P042,芳香複素環高分子材料の構造 分子,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P043,A Journal of the Gesellschaft Deutscher Chemiker,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P046,A Theory of the Linear Viscoelastic Properties of Dilute,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P047,Rouse mode analysis of chain relaxation in,irrelevant_or_low_priority,self_healing_elastomer,False,Possible match: 2 keywords for self_healing_elastomer (needs review),low
P048,JournalofNon-NewtonianFluidMechanics316(2023)105012,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P050,2 Preparation of a Tough Elastomer by the Introduction of Multiple,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P053,www.advmat.de,irrelevant_or_low_priority,biodegradable_polyurethane,False,Possible match: 2 keywords for biodegradable_polyurethane (needs review),low
P054,Synthesis of a Photo-Crosslinkable Elastomer for Stretchable,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P058,Tough and stretchable all-κ-carrageenan hydrogel based on the,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
P060,Gel Electrolytes www.advmat.de,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P062,www.advmat.de,irrelevant_or_low_priority,self_healing_elastomer,False,Re-classified: 3 keywords matched for self_healing_elastomer,low
P065,Materials,irrelevant_or_low_priority,irrelevant_or_low_priority,True,No relevant keywords found,medium
P067,Highly Robust and Environment-Tolerant Conducting Polymer,irrelevant_or_low_priority,TPU_mechanics,False,Possible match: 2 keywords for TPU_mechanics (needs review),low
