paper_id,title,file_name,year,priority,extraction_quality,evidence_type,claim_type,evidence_text,figure_table_source,page_est,keyword,confidence,relevance,ml_feature_candidate
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,excerpt,measurement,TransPolymer: a Transformer-based language model for polymer property predictions,line 3,1,model,medium,standard,TRUE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,excerpt,general,"Accurateandefficientpredictionofpolymerpropertiesisofgreatsignificanceinpolymerdesign.Conventionally,expensiveand time-consumingexperimentsorsimulationsarerequiredtoevaluatepolymerfunctions.Recently,Transformermodels,equipped",line 7,1,prediction,medium,standard,TRUE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,excerpt,method,"time-consumingexperimentsorsimulationsarerequiredtoevaluatepolymerfunctions.Recently,Transformermodels,equipped withself-attentionmechanisms,haveexhibitedsuperiorperformanceinnaturallanguageprocessing.However,suchmethodshave",line 8,1,model,medium,standard,FALSE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,excerpt,measurement,"notbeeninvestigated in polymersciences. Herein, wereportTransPolymer, a Transformer-based languagemodel forpolymer propertyprediction. Our proposedpolymer tokenizerwith chemical awarenessenables learningrepresentations from polymer",line 10,1,model,medium,standard,TRUE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,excerpt,finding,propertyprediction. Our proposedpolymer tokenizerwith chemical awarenessenables learningrepresentations from polymer sequences. Rigorousexperiments onten polymerproperty prediction benchmarksdemonstrate thesuperior performance of,line 11,1,prediction,medium,standard,TRUE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,excerpt,finding,"sequences. Rigorousexperiments onten polymerproperty prediction benchmarksdemonstrate thesuperior performance of TransPolymer.Moreover,weshowthatTransPolymerbenefitsfrompretraining onlargeunlabeleddatasetviaMaskedLanguage",line 12,1,prediction,medium,standard,TRUE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,performance_data,measurement,R-squared: 2,text extraction,,performance,medium,standard,TRUE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,performance_data,measurement,Dielectric constant: 52,text extraction,,performance,medium,standard,TRUE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,figure_caption,measurement,"TransPolymer is transferable to various downstream tasks and
Each polymer SMILES is converted to TransPolymer embedding more efficient, it is necessary to finetune the Transformer
withthesizeofsequencelength×embeddingsize.Maxpoolingis encoders withtask-related datapointsfor better performance.
imple",Figure 3,,Figure 3,medium,standard,FALSE
P182,TransPolymer: a Transformer-based language model for,P182_unidentified.pdf,2023,low,partial,figure_caption,measurement,"Since T usually plays an important role in
g
determining the conductivity of polymers64, the finetuned METHODS
Transpolyemrcouldunderstandtheinfluentialpartsonproperties
Polymertokenization
inapolymersequence.However,itisalsowidelyarguedthatthe
Unlike small molecules which are easily represented by ",Figure 6,,Figure 6,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,abstract,method,"Heterogenous catalysis involves complex reactions
with dynamic changes in catalyst morphology, challenging the
capabilities of traditional density functional theory (DFT)
methods. To address this, we introduce the catalytic large atomic
model (CLAM), a comprehensive data set and pretrained model
formachinelearninginteratomicpotential,specificallydesignedfor
heterogeneouscatalysis.CLAMistrainedonadiversedatasetthat
includes metal and alloy slabs with adsorbates, oxides, clusters,
two-dimensional ",abstract section,1,abstract,high,standard,TRUE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,conclusion,general,"Data Availability Statement
In this work, we introduced CLAM, a MLIP data set and Thesourcecode,pretrainedMLIPmodels,documentationand
modelsuitetailoredforheterogeneouscatalysis.Byassembling examples of CLAM are available at https://github.com/
a comprehensive and internally consistent data set that spans lalaheihaihei/catalyticLAM.
diverse catalytic materials and adsorbates, CLAM enables * sı Supporting Information
generalizable predictions under unified DFT settings. When
The Supporting Inform",conclusion section,end,conclusion,high,standard,TRUE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,excerpt,general,A Machine Learning Interatomic Potential Data Set and Model for Catalysis with Local Fine-Tuning to Chemical Accuracy,line 3,1,machine learning,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,excerpt,general,"model (CLAM), a comprehensive data set and pretrained model formachinelearninginteratomicpotential,specificallydesignedfor",line 13,1,model,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,excerpt,general,"heterogeneouscatalysis.CLAMistrainedonadiversedatasetthat includes metal and alloy slabs with adsorbates, oxides, clusters,",line 15,1,dataset,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,excerpt,general,improves the accuracy of machine learning interatomic potentials for structural optimizations and transition state searches. This,line 20,1,machine learning,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,excerpt,general,"approach achieves 94% prediction accuracy within chemical accuracy thresholds (<1 kcal/mol) for adsorption energies of small adsorbates on transition metal surfaces, while demonstrating 3.4× computational acceleration relative to conventional DFT",line 22,1,prediction,medium,standard,TRUE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,excerpt,general,CLAM model can accurately reproduce reported dynamic catalysis phenomena via molecular dynamics simulations without additional fine-tuning.,line 26,1,model,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,performance_data,measurement,R-squared: 5,text extraction,,performance,medium,standard,TRUE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,performance_data,measurement,MAE: 2,text extraction,,performance,medium,standard,TRUE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,performance_data,measurement,Accuracy: 87.36,text extraction,,performance,medium,standard,TRUE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,figure_caption,measurement,"Design of metal data set construction. (a) Flowchart of metal data set construction. (b) Example of initial metal and alloy supercell
structures.(c)Adsorbatesusedforadsorptionontheslab.Examplesofsingleanddoubleintermediatesadsorptionconfigurationson(d)ametal
slaband(e)analloyslab.Examplesoffourinter",Figure 1,,Figure 1,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,figure_caption,measurement,"Tobalancethedifferent
includingelementalfrequency(Figures2aandS6),numberof categories of data set, we applied a sampling probability ratio
atoms per structure (Figure 2b,c), energy per atom (Figure of QM9:2D:Metal:OC22 = 0.1:1:1:0.0005 during training.
S7), and force distributions (Figure 2d,e). Com",Figure 3,,Figure 3,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,figure_caption,measurement,"Schematic and workflow of local fine-tuning algorithm. (a) Schematic illustration of local fine-tuning on the potential energy surface
(PES),wheretheboldblacklinerepresentstheaccuratePESandthedashedlineindicatesthedeviationofthemodel-predictedPES.Sideandtop
views of octahydro-N-ethylcarbazole adsorb",Figure 4,,Figure 4,medium,standard,FALSE
P183,A Machine Learning Interatomic Potential Data Set and Model for,P183_unidentified.pdf,2025,low,good,figure_caption,measurement,"Modelperformancewithlocalfine-tuningiterations.(a)Sideviewofrepresentativemetalsurfaceswithadsorbed*C,*CH,*CH,*N,
2
*NH,and*NH.(b)AdsorptionenergiespredictedbyGNOC-CLAMcomparedwithfinalDFT-optimizedvaluesoftheseadsorbatesondifferent
2
transitionmetalsurfaces.Adsorptionenergycomparisonsafterthe(c)fir",Figure 6,,Figure 6,medium,standard,FALSE
P184,Δ‑Learning of High-Fidelity Electronic,P184_unidentified.pdf,2025,medium,good,abstract,finding,"In this work, we present a Δ-learning approach
for predicting the eigenvalues calculated with the hybrid
functional HSE06 (ϵHSE) for a set of metal and nitrogen nk
doped graphene catalysts (MNCs) from Perdew-Burke-
Ernzerhof (PBE) inputs. The model presented here incorpo-
rateselectronicscalarfeaturesalongwithstructuralinformation
in a graph neural network (GNN). In particular, the PBE
eigenvalues for different bands and k-points and orbital-
resolved projectors are combined with the applied pot",abstract section,1,abstract,high,standard,TRUE
